txn_id,customer_id,amount,method,status,failure_code,retry_count,created_at
pay_00033,cust_0011,99,card,failed,bank_downtime,2,2026-08-21T18:54:09.226156
pay_00034,cust_0099,2499,card,failed,otp_timeout,0,2026-08-15T18:54:09.226156
pay_00035,cust_0022,499,upi,success,,0,2026-08-20T18:54:09.226156
pay_00036,cust_0028,2499,netbanking,success,,0,2026-08-12T18:54:09.226156
pay_00037,cust_0092,1499,upi,success,,0,2026-08-24T18:54:09.226156
pay_00038,cust_0057,1499,netbanking,success,,0,2026-08-22T18:54:09.226156
pay_00039,cust_0003,99,netbanking,failed,insufficient_funds,2,2026-08-29T18:54:09.226156
pay_00040,cust_0081,999,card,failed,insufficient_funds,0,2026-09-03T18:54:09.226156
pay_00041,cust_0010,99,netbanking,success,,0,2026-08-29T18:54:09.226156
pay_00042,cust_0028,299,netbanking,success,,0,2026-09-01T18:54:09.226156
pay_00043,cust_0074,1499,netbanking,success,,0,2026-08-21T18:54:09.226156
pay_00044,cust_0104,199,upi,success,,0,2026-08-30T18:54:09.226156
pay_00045,cust_0055,99,upi,failed,card_expired,1,2026-08-09T18:54:09.226156
pay_00046,cust_0083,1499,card,failed,risk_blocked,0,2026-08-24T18:54:09.226156
pay_00047,cust_0032,1499,card,failed,network_error,0,2026-08-19T18:54:09.226156
pay_00048,cust_0060,499,card,failed,insufficient_funds,0,2026-08-22T18:54:09.226156
pay_00049,cust_0071,2499,card,success,,0,2026-09-04T18:54:09.226156
pay_00050,cust_0108,1499,card,success,,0,2026-09-03T18:54:09.226156
pay_00051,cust_0022,2499,upi,success,,0,2026-08-21T18:54:09.226156
pay_00052,cust_0008,499,card,failed,card_expired,1,2026-09-05T18:54:09.226156
pay_00053,cust_0059,499,upi,failed,otp_timeout,1,2026-08-14T18:54:09.226156
pay_00054,cust_0072,1499,netbanking,success,,0,2026-08-14T18:54:09.226156
pay_00055,cust_0008,499,netbanking,failed,insufficient_funds,2,2026-08-19T18:54:09.226156
pay_00056,cust_0008,99,card,success,,0,2026-08-18T18:54:09.226156
pay_00057,cust_0110,499,netbanking,success,,0,2026-08-31T18:54:09.226156
pay_00058,cust_0011,99,card,success,,0,2026-09-03T18:54:09.226156
pay_00059,cust_0052,999,card,failed,network_error,2,2026-08-29T18:54:09.226156
pay_00060,cust_0080,999,card,success,,0,2026-08-23T18:54:09.226156
pay_00061,cust_0067,1499,upi,success,,0,2026-08-07T18:54:09.226156
pay_00062,cust_0031,299,upi,failed,otp_timeout,1,2026-09-01T18:54:09.226156
pay_00063,cust_0059,1499,upi,success,,0,2026-08-07T18:54:09.226156
pay_00064,cust_0002,2499,upi,success,,0,2026-08-17T18:54:09.226156
pay_00065,cust_0010,999,netbanking,success,,0,2026-08-30T18:54:09.226156
pay_00066,cust_0113,999,card,failed,network_error,0,2026-08-25T18:54:09.226156
pay_00067,cust_0091,299,upi,failed,otp_timeout,2,2026-08-11T18:54:09.226156
pay_00068,cust_0086,1499,netbanking,success,,0,2026-08-27T18:54:09.226156
pay_00069,cust_0034,1499,card,failed,network_error,0,2026-08-13T18:54:09.226156
pay_00070,cust_0027,999,netbanking,failed,insufficient_funds,1,2026-08-30T18:54:09.226156
pay_00071,cust_0034,1499,netbanking,success,,0,2026-08-21T18:54:09.226156
pay_00072,cust_0109,299,card,success,,0,2026-09-03T18:54:09.226156
pay_00073,cust_0001,1499,upi,failed,insufficient_funds,0,2026-08-16T18:54:09.226156
pay_00074,cust_0091,299,upi,failed,card_expired,2,2026-09-05T18:54:09.226156
pay_00075,cust_0116,99,card,failed,network_error,2,2026-09-04T18:54:09.226156
pay_00076,cust_0056,2499,card,failed,bank_downtime,0,2026-08-27T18:54:09.226156
pay_00077,cust_0102,299,card,success,,0,2026-08-08T18:54:09.226156
pay_00078,cust_0014,299,upi,failed,insufficient_funds,2,2026-08-08T18:54:09.226156
pay_00079,cust_0020,2499,card,failed,bank_downtime,0,2026-08-11T18:54:09.226156
pay_00080,cust_0023,2499,netbanking,failed,card_expired,1,2026-08-11T18:54:09.226156
pay_00081,cust_0111,499,netbanking,success,,0,2026-08-11T18:54:09.226156
pay_00082,cust_0014,199,upi,failed,otp_timeout,0,2026-08-09T18:54:09.226156
pay_00083,cust_0059,499,upi,failed,otp_timeout,1,2026-08-10T18:54:09.226156
pay_00084,cust_0029,2499,card,success,,0,2026-08-15T18:54:09.226156
pay_00085,cust_0009,199,upi,failed,insufficient_funds,1,2026-08-16T18:54:09.226156
pay_00086,cust_0069,999,upi,failed,network_error,0,2026-09-02T18:54:09.226156
pay_00087,cust_0034,299,card,failed,network_error,0,2026-08-17T18:54:09.226156
pay_00088,cust_0056,499,netbanking,failed,otp_timeout,2,2026-09-02T18:54:09.226156
pay_00089,cust_0025,499,upi,success,,0,2026-09-04T18:54:09.226156
pay_00090,cust_0104,1499,netbanking,failed,bank_downtime,2,2026-08-13T18:54:09.226156
pay_00091,cust_0026,1499,upi,success,,0,2026-08-23T18:54:09.226156
pay_00092,cust_0118,99,upi,success,,0,2026-08-17T18:54:09.226156
pay_00093,cust_0016,299,netbanking,success,,0,2026-08-08T18:54:09.226156
pay_00094,cust_0086,299,upi,success,,0,2026-08-26T18:54:09.226156
pay_00095,cust_0071,499,card,success,,0,2026-08-30T18:54:09.226156
pay_00096,cust_0049,499,netbanking,success,,0,2026-08-13T18:54:09.226156
pay_00097,cust_0039,199,upi,success,,0,2026-08-19T18:54:09.226156
pay_00098,cust_0056,2499,netbanking,failed,insufficient_funds,2,2026-08-16T18:54:09.226156
pay_00099,cust_0057,299,netbanking,success,,0,2026-08-30T18:54:09.226156
pay_00100,cust_0116,999,netbanking,success,,0,2026-08-31T18:54:09.226156
pay_00101,cust_0082,1499,netbanking,failed,bank_downtime,1,2026-09-03T18:54:09.226156
pay_00102,cust_0031,2499,netbanking,success,,0,2026-08-27T18:54:09.226156
pay_00103,cust_0019,199,card,success,,0,2026-09-04T18:54:09.226156
pay_00104,cust_0079,199,card,success,,0,2026-08-22T18:54:09.226156
pay_00105,cust_0074,499,card,success,,0,2026-08-14T18:54:09.226156
pay_00106,cust_0019,1499,netbanking,failed,card_expired,2,2026-09-05T18:54:09.226156
pay_00107,cust_0114,2499,card,success,,0,2026-08-12T18:54:09.226156
pay_00108,cust_0090,499,netbanking,failed,otp_timeout,1,2026-09-04T18:54:09.226156
pay_00109,cust_0059,999,card,failed,otp_timeout,1,2026-08-15T18:54:09.226156
pay_00110,cust_0077,999,upi,success,,0,2026-08-06T18:54:09.226156
pay_00111,cust_0079,2499,netbanking,success,,0,2026-08-08T18:54:09.226156
pay_00112,cust_0058,999,card,failed,network_error,2,2026-08-09T18:54:09.226156
pay_00113,cust_0097,499,card,success,,0,2026-08-10T18:54:09.226156
pay_00114,cust_0063,1499,netbanking,failed,otp_timeout,0,2026-08-28T18:54:09.226156
pay_00115,cust_0035,499,upi,failed,insufficient_funds,1,2026-08-08T18:54:09.226156
pay_00116,cust_0050,999,netbanking,failed,insufficient_funds,0,2026-08-14T18:54:09.226156
pay_00117,cust_0070,199,upi,failed,card_expired,1,2026-09-04T18:54:09.226156
pay_00118,cust_0050,199,netbanking,success,,0,2026-08-06T18:54:09.226156
pay_00119,cust_0074,1499,upi,failed,network_error,1,2026-09-05T18:54:09.226156
pay_00120,cust_0115,299,upi,failed,card_expired,2,2026-08-13T18:54:09.226156
pay_00121,cust_0078,1499,card,success,,0,2026-08-21T18:54:09.226156
pay_00122,cust_0050,199,upi,failed,card_expired,2,2026-08-15T18:54:09.226156
pay_00123,cust_0060,2499,card,failed,insufficient_funds,2,2026-08-19T18:54:09.226156
pay_00124,cust_0076,99,netbanking,success,,0,2026-08-15T18:54:09.226156
pay_00125,cust_0111,99,upi,failed,card_expired,0,2026-09-04T18:54:09.226156
pay_00126,cust_0042,299,upi,failed,insufficient_funds,1,2026-08-28T18:54:09.226156
pay_00127,cust_0054,2499,upi,success,,0,2026-08-10T18:54:09.226156
pay_00128,cust_0096,99,netbanking,success,,0,2026-09-04T18:54:09.226156
pay_00129,cust_0084,299,card,failed,insufficient_funds,0,2026-08-06T18:54:09.226156
pay_00130,cust_0020,199,card,failed,insufficient_funds,0,2026-08-21T18:54:09.226156
pay_00131,cust_0060,1499,netbanking,failed,network_error,1,2026-08-12T18:54:09.226156
pay_00132,cust_0096,299,netbanking,failed,bank_downtime,0,2026-08-12T18:54:09.226156
pay_00133,cust_0075,2499,card,failed,card_expired,1,2026-08-18T18:54:09.226156
pay_00134,cust_0049,1499,upi,success,,0,2026-08-06T18:54:09.226156
pay_00135,cust_0107,1499,netbanking,failed,bank_downtime,0,2026-09-02T18:54:09.226156
pay_00136,cust_0109,1499,netbanking,success,,0,2026-08-17T18:54:09.226156
pay_00137,cust_0101,2499,card,failed,network_error,1,2026-08-19T18:54:09.226156
pay_00138,cust_0009,499,netbanking,success,,0,2026-08-16T18:54:09.226156
pay_00139,cust_0063,299,card,failed,card_expired,1,2026-08-06T18:54:09.226156
pay_00140,cust_0107,299,upi,success,,0,2026-08-14T18:54:09.226156
pay_00141,cust_0084,199,upi,failed,otp_timeout,2,2026-08-11T18:54:09.226156
pay_00142,cust_0060,999,upi,success,,0,2026-08-10T18:54:09.226156
pay_00143,cust_0042,1499,card,success,,0,2026-08-10T18:54:09.226156
pay_00144,cust_0097,99,upi,failed,card_expired,2,2026-08-17T18:54:09.226156
pay_00145,cust_0109,1499,upi,failed,insufficient_funds,0,2026-08-21T18:54:09.226156
pay_00146,cust_0036,199,netbanking,failed,insufficient_funds,2,2026-08-08T18:54:09.226156
pay_00147,cust_0067,299,card,success,,0,2026-09-03T18:54:09.226156
pay_00148,cust_0063,199,netbanking,success,,0,2026-08-12T18:54:09.226156
pay_00149,cust_0083,199,netbanking,success,,0,2026-08-21T18:54:09.226156
pay_00150,cust_0012,499,upi,success,,0,2026-08-29T18:54:09.226156
pay_00151,cust_0040,499,netbanking,success,,0,2026-08-18T18:54:09.226156
pay_00152,cust_0068,299,upi,success,,0,2026-08-23T18:54:09.226156
pay_00153,cust_0046,1499,netbanking,success,,0,2026-08-22T18:54:09.226156
pay_00154,cust_0093,299,card,failed,insufficient_funds,1,2026-09-02T18:54:09.226156
pay_00155,cust_0098,1499,netbanking,success,,0,2026-08-31T18:54:09.226156
pay_00156,cust_0093,199,netbanking,failed,card_expired,2,2026-08-17T18:54:09.226156
pay_00157,cust_0107,299,card,success,,0,2026-08-27T18:54:09.226156
pay_00158,cust_0091,199,netbanking,failed,card_expired,0,2026-08-28T18:54:09.226156
pay_00159,cust_0071,99,upi,success,,0,2026-08-14T18:54:09.226156
pay_00160,cust_0097,199,upi,success,,0,2026-09-02T18:54:09.226156
pay_00161,cust_0062,2499,upi,failed,insufficient_funds,1,2026-08-31T18:54:09.226156
pay_00162,cust_0015,99,card,failed,network_error,1,2026-08-21T18:54:09.226156
pay_00163,cust_0088,99,card,success,,0,2026-09-01T18:54:09.226156
pay_00164,cust_0039,199,card,success,,0,2026-08-29T18:54:09.226156
pay_00165,cust_0054,99,netbanking,success,,0,2026-08-17T18:54:09.226156
pay_00166,cust_0100,2499,netbanking,success,,0,2026-08-24T18:54:09.226156
pay_00167,cust_0039,499,netbanking,success,,0,2026-08-23T18:54:09.226156
pay_00168,cust_0008,299,netbanking,success,,0,2026-08-06T18:54:09.226156
pay_00169,cust_0081,1499,card,failed,otp_timeout,1,2026-08-15T18:54:09.226156
pay_00170,cust_0010,99,card,failed,insufficient_funds,0,2026-08-23T18:54:09.226156
pay_00171,cust_0061,499,upi,success,,0,2026-09-04T18:54:09.226156
pay_00172,cust_0111,199,upi,failed,insufficient_funds,0,2026-08-15T18:54:09.226156
pay_00173,cust_0101,199,netbanking,success,,0,2026-08-18T18:54:09.226156
pay_00174,cust_0026,1499,upi,success,,0,2026-09-02T18:54:09.226156
pay_00175,cust_0035,999,card,failed,insufficient_funds,0,2026-09-04T18:54:09.226156
pay_00176,cust_0077,199,netbanking,success,,0,2026-08-10T18:54:09.226156
pay_00177,cust_0057,999,card,success,,0,2026-08-22T18:54:09.226156
pay_00178,cust_0035,1499,netbanking,failed,card_expired,2,2026-08-21T18:54:09.226156
pay_00179,cust_0056,499,netbanking,failed,insufficient_funds,1,2026-08-17T18:54:09.226156
pay_00180,cust_0087,299,netbanking,failed,insufficient_funds,2,2026-08-06T18:54:09.226156
pay_00181,cust_0087,99,upi,success,,0,2026-08-18T18:54:09.226156
pay_00182,cust_0023,99,upi,success,,0,2026-08-20T18:54:09.226156
pay_00183,cust_0075,1499,upi,failed,insufficient_funds,2,2026-08-10T18:54:09.226156
pay_00184,cust_0061,499,upi,success,,0,2026-08-23T18:54:09.226156
pay_00185,cust_0021,299,upi,failed,insufficient_funds,1,2026-08-14T18:54:09.226156
pay_00186,cust_0105,499,netbanking,failed,network_error,0,2026-08-22T18:54:09.226156
pay_00187,cust_0099,99,upi,failed,card_expired,2,2026-08-10T18:54:09.226156
pay_00188,cust_0070,99,upi,success,,0,2026-08-23T18:54:09.226156
pay_00189,cust_0097,99,upi,failed,card_expired,2,2026-08-22T18:54:09.226156
pay_00190,cust_0017,2499,upi,failed,insufficient_funds,1,2026-08-08T18:54:09.226156
pay_00191,cust_0004,1499,netbanking,success,,0,2026-08-17T18:54:09.226156
pay_00192,cust_0071,2499,card,failed,insufficient_funds,2,2026-08-23T18:54:09.226156
pay_00193,cust_0015,99,upi,failed,otp_timeout,0,2026-08-16T18:54:09.226156
pay_00194,cust_0038,2499,netbanking,failed,network_error,2,2026-08-28T18:54:09.226156
pay_00195,cust_0061,499,card,success,,0,2026-08-22T18:54:09.226156
pay_00196,cust_0077,999,netbanking,failed,insufficient_funds,2,2026-08-08T18:54:09.226156
pay_00197,cust_0036,199,upi,success,,0,2026-08-26T18:54:09.226156
pay_00198,cust_0106,2499,card,success,,0,2026-08-27T18:54:09.226156
pay_00199,cust_0085,1499,upi,failed,bank_downtime,0,2026-08-22T18:54:09.226156
pay_00200,cust_0043,999,netbanking,success,,0,2026-08-12T18:54:09.226156
pay_00201,cust_0112,999,card,failed,network_error,2,2026-08-29T18:54:09.226156
pay_00202,cust_0053,999,card,failed,network_error,1,2026-08-13T18:54:09.226156
pay_00203,cust_0104,499,upi,success,,0,2026-08-24T18:54:09.226156
pay_00204,cust_0084,1499,card,success,,0,2026-08-21T18:54:09.226156
pay_00205,cust_0043,99,card,failed,network_error,1,2026-09-02T18:54:09.226156
pay_00206,cust_0002,999,netbanking,success,,0,2026-09-01T18:54:09.226156
pay_00207,cust_0020,499,card,success,,0,2026-08-21T18:54:09.226156
pay_00208,cust_0044,2499,netbanking,success,,0,2026-08-14T18:54:09.226156
pay_00209,cust_0110,499,upi,success,,0,2026-08-09T18:54:09.226156
pay_00210,cust_0049,1499,upi,success,,0,2026-08-16T18:54:09.226156
pay_00211,cust_0063,1499,netbanking,success,,0,2026-09-04T18:54:09.226156
pay_00212,cust_0118,999,upi,failed,bank_downtime,0,2026-08-13T18:54:09.226156
pay_00213,cust_0082,99,netbanking,failed,insufficient_funds,0,2026-08-22T18:54:09.226156
pay_00214,cust_0116,199,card,success,,0,2026-09-04T18:54:09.226156
pay_00215,cust_0038,299,upi,success,,0,2026-08-25T18:54:09.226156
pay_00216,cust_0073,499,netbanking,failed,bank_downtime,0,2026-08-31T18:54:09.226156
pay_00217,cust_0080,199,netbanking,failed,network_error,0,2026-08-21T18:54:09.226156
pay_00218,cust_0033,999,upi,failed,card_expired,1,2026-08-15T18:54:09.226156
pay_00219,cust_0060,99,upi,success,,0,2026-08-15T18:54:09.226156
pay_00220,cust_0045,999,netbanking,failed,card_expired,1,2026-08-16T18:54:09.226156
pay_00221,cust_0059,499,upi,success,,0,2026-08-30T18:54:09.226156
pay_00222,cust_0014,499,card,success,,0,2026-08-24T18:54:09.226156
pay_00223,cust_0090,999,upi,failed,insufficient_funds,0,2026-08-10T18:54:09.226156
pay_00224,cust_0111,1499,netbanking,failed,insufficient_funds,2,2026-09-04T18:54:09.226156
pay_00225,cust_0107,999,upi,success,,0,2026-08-12T18:54:09.226156
pay_00226,cust_0029,2499,netbanking,failed,otp_timeout,0,2026-08-17T18:54:09.226156
pay_00227,cust_0093,299,netbanking,success,,0,2026-08-15T18:54:09.226156
pay_00228,cust_0081,2499,netbanking,failed,insufficient_funds,0,2026-08-27T18:54:09.226156
pay_00229,cust_0094,2499,card,failed,bank_downtime,0,2026-08-07T18:54:09.226156
pay_00230,cust_0026,299,card,failed,card_expired,2,2026-08-08T18:54:09.226156
pay_00231,cust_0117,299,upi,success,,0,2026-08-10T18:54:09.226156
pay_00232,cust_0062,199,upi,failed,otp_timeout,2,2026-08-09T18:54:09.226156
pay_00233,cust_0060,299,card,success,,0,2026-09-01T18:54:09.226156
pay_00234,cust_0111,2499,netbanking,success,,0,2026-08-13T18:54:09.226156
pay_00235,cust_0109,1499,netbanking,success,,0,2026-08-25T18:54:09.226156
pay_00236,cust_0002,99,upi,success,,0,2026-08-19T18:54:09.226156
pay_00237,cust_0087,99,netbanking,success,,0,2026-08-15T18:54:09.226156
pay_00238,cust_0106,299,netbanking,success,,0,2026-08-06T18:54:09.226156
pay_00239,cust_0004,299,netbanking,failed,insufficient_funds,2,2026-08-26T18:54:09.226156
pay_00240,cust_0106,999,upi,failed,insufficient_funds,2,2026-08-27T18:54:09.226156
pay_00241,cust_0005,1499,upi,failed,insufficient_funds,1,2026-09-02T18:54:09.226156
pay_00242,cust_0050,99,upi,failed,bank_downtime,1,2026-08-15T18:54:09.226156
pay_00243,cust_0070,1499,upi,success,,0,2026-08-18T18:54:09.226156
pay_00244,cust_0114,1499,upi,success,,0,2026-08-16T18:54:09.226156
pay_00245,cust_0079,99,upi,success,,0,2026-08-06T18:54:09.226156
pay_00246,cust_0057,299,upi,failed,card_expired,0,2026-08-09T18:54:09.226156
pay_00247,cust_0070,299,netbanking,failed,risk_blocked,1,2026-09-04T18:54:09.226156
pay_00248,cust_0109,499,upi,failed,network_error,0,2026-08-15T18:54:09.226156
pay_00249,cust_0077,199,card,success,,0,2026-09-04T18:54:09.226156
pay_00250,cust_0101,2499,netbanking,failed,network_error,0,2026-09-03T18:54:09.226156
pay_00251,cust_0027,2499,netbanking,success,,0,2026-08-30T18:54:09.226156
pay_00252,cust_0043,2499,card,success,,0,2026-08-11T18:54:09.226156
pay_00253,cust_0019,999,card,failed,network_error,2,2026-08-28T18:54:09.226156
pay_00254,cust_0004,2499,card,failed,risk_blocked,0,2026-08-25T18:54:09.226156
pay_00255,cust_0076,2499,upi,success,,0,2026-09-05T18:54:09.226156
pay_00256,cust_0054,199,netbanking,failed,insufficient_funds,0,2026-08-13T18:54:09.226156
pay_00257,cust_0100,99,upi,success,,0,2026-08-20T18:54:09.226156
pay_00258,cust_0079,999,card,failed,bank_downtime,2,2026-08-11T18:54:09.226156
pay_00259,cust_0039,2499,upi,success,,0,2026-08-16T18:54:09.226156
pay_00260,cust_0052,99,upi,failed,card_expired,2,2026-09-02T18:54:09.226156
pay_00261,cust_0057,499,card,success,,0,2026-08-08T18:54:09.226156
pay_00262,cust_0017,99,upi,failed,insufficient_funds,2,2026-08-16T18:54:09.226156
pay_00263,cust_0042,999,upi,success,,0,2026-08-17T18:54:09.226156
pay_00264,cust_0056,999,card,failed,bank_downtime,2,2026-09-02T18:54:09.226156
pay_00265,cust_0113,2499,netbanking,success,,0,2026-08-13T18:54:09.226156
pay_00266,cust_0030,2499,upi,failed,card_expired,1,2026-08-10T18:54:09.226156
pay_00267,cust_0041,499,upi,failed,otp_timeout,1,2026-08-15T18:54:09.226156
pay_00268,cust_0119,299,upi,failed,insufficient_funds,0,2026-09-03T18:54:09.226156
pay_00269,cust_0096,2499,netbanking,failed,card_expired,1,2026-08-11T18:54:09.226156
pay_00270,cust_0076,199,netbanking,success,,0,2026-08-19T18:54:09.226156
pay_00271,cust_0053,299,upi,success,,0,2026-08-09T18:54:09.226156
pay_00272,cust_0055,1499,netbanking,success,,0,2026-09-04T18:54:09.226156
pay_00273,cust_0046,299,card,success,,0,2026-08-18T18:54:09.226156
pay_00274,cust_0029,999,card,failed,risk_blocked,1,2026-08-09T18:54:09.226156
pay_00275,cust_0074,999,card,failed,otp_timeout,1,2026-08-09T18:54:09.226156
pay_00276,cust_0105,999,netbanking,success,,0,2026-08-17T18:54:09.226156
pay_00277,cust_0004,1499,netbanking,success,,0,2026-08-07T18:54:09.226156
pay_00278,cust_0035,1499,card,success,,0,2026-08-31T18:54:09.226156
pay_00279,cust_0040,299,upi,success,,0,2026-08-25T18:54:09.226156
pay_00280,cust_0085,99,upi,failed,insufficient_funds,0,2026-09-01T18:54:09.226156
pay_00281,cust_0004,1499,card,success,,0,2026-08-13T18:54:09.226156
pay_00282,cust_0044,999,card,failed,card_expired,1,2026-08-27T18:54:09.226156
pay_00283,cust_0077,1499,card,failed,network_error,0,2026-09-01T18:54:09.226156
pay_00284,cust_0007,199,netbanking,success,,0,2026-09-03T18:54:09.226156
pay_00285,cust_0078,299,upi,failed,card_expired,1,2026-08-28T18:54:09.226156
pay_00286,cust_0015,199,upi,success,,0,2026-08-23T18:54:09.226156
pay_00287,cust_0063,99,netbanking,failed,risk_blocked,2,2026-08-27T18:54:09.226156
pay_00288,cust_0008,99,card,failed,network_error,0,2026-08-27T18:54:09.226156
pay_00289,cust_0098,199,upi,success,,0,2026-08-27T18:54:09.226156
pay_00290,cust_0056,299,card,failed,card_expired,0,2026-08-24T18:54:09.226156
pay_00291,cust_0065,999,netbanking,success,,0,2026-08-10T18:54:09.226156
pay_00292,cust_0010,1499,upi,success,,0,2026-08-09T18:54:09.226156
pay_00293,cust_0118,1499,card,failed,insufficient_funds,1,2026-08-18T18:54:09.226156
pay_00294,cust_0091,499,netbanking,success,,0,2026-08-23T18:54:09.226156
pay_00295,cust_0042,299,card,failed,insufficient_funds,2,2026-08-22T18:54:09.226156
pay_00296,cust_0047,2499,card,success,,0,2026-08-23T18:54:09.226156
pay_00297,cust_0052,2499,netbanking,failed,card_expired,0,2026-08-24T18:54:09.226156
pay_00298,cust_0043,2499,card,failed,card_expired,0,2026-08-20T18:54:09.226156
pay_00299,cust_0116,1499,upi,failed,bank_downtime,1,2026-08-13T18:54:09.226156
