txn_id,cause,outcome,attempts,recovered_amount
pay_00162,network_error,recovered,1,99.0
pay_00169,otp_timeout,recovered,3,1499.0
pay_00170,insufficient_funds,recovered,2,99.0
pay_00172,insufficient_funds,escalated,3,0.0
pay_00175,insufficient_funds,recovered,2,999.0
pay_00178,card_expired,recovered,2,1499.0
pay_00179,insufficient_funds,escalated,3,0.0
pay_00180,insufficient_funds,recovered,2,299.0
pay_00183,insufficient_funds,escalated,3,0.0
pay_00185,insufficient_funds,escalated,3,0.0
pay_00186,network_error,recovered,1,499.0
pay_00187,card_expired,recovered,3,99.0
pay_00189,card_expired,recovered,1,99.0
pay_00190,insufficient_funds,recovered,1,2499.0
pay_00192,insufficient_funds,recovered,1,2499.0
pay_00193,otp_timeout,escalated,3,0.0
pay_00194,network_error,escalated,3,0.0
pay_00196,insufficient_funds,recovered,2,999.0
pay_00199,bank_downtime,recovered,1,1499.0
pay_00201,network_error,recovered,1,999.0
pay_00202,network_error,recovered,1,999.0
pay_00205,network_error,escalated,3,0.0
pay_00212,bank_downtime,escalated,3,0.0
pay_00213,insufficient_funds,recovered,1,99.0
pay_00216,bank_downtime,escalated,3,0.0
pay_00217,network_error,recovered,2,199.0
pay_00218,card_expired,recovered,1,999.0
pay_00220,card_expired,escalated,3,0.0
pay_00223,insufficient_funds,escalated,3,0.0
pay_00224,insufficient_funds,recovered,3,1499.0
pay_00226,otp_timeout,recovered,1,2499.0
pay_00228,insufficient_funds,recovered,1,2499.0
pay_00229,bank_downtime,recovered,3,2499.0
pay_00230,card_expired,escalated,3,0.0
pay_00232,otp_timeout,recovered,3,199.0
pay_00239,insufficient_funds,recovered,1,299.0
pay_00240,insufficient_funds,escalated,3,0.0
pay_00241,insufficient_funds,escalated,3,0.0
pay_00242,bank_downtime,recovered,2,99.0
pay_00246,card_expired,recovered,1,299.0
pay_00247,risk_blocked,escalated,0,0.0
pay_00248,network_error,recovered,1,499.0
pay_00250,network_error,recovered,1,2499.0
pay_00253,network_error,recovered,2,999.0
pay_00254,risk_blocked,escalated,0,0.0
pay_00256,insufficient_funds,recovered,2,199.0
pay_00258,bank_downtime,escalated,3,0.0
pay_00260,card_expired,escalated,3,0.0
pay_00262,insufficient_funds,escalated,3,0.0
pay_00264,bank_downtime,recovered,2,999.0
pay_00266,card_expired,recovered,2,2499.0
pay_00267,otp_timeout,recovered,1,499.0
pay_00268,insufficient_funds,recovered,2,299.0
pay_00269,card_expired,escalated,3,0.0
pay_00274,risk_blocked,escalated,0,0.0
pay_00275,otp_timeout,escalated,3,0.0
pay_00280,insufficient_funds,recovered,2,99.0
pay_00282,card_expired,recovered,2,999.0
pay_00283,network_error,recovered,1,1499.0
pay_00285,card_expired,escalated,3,0.0
pay_00287,risk_blocked,escalated,0,0.0
pay_00288,network_error,recovered,3,99.0
pay_00290,card_expired,escalated,3,0.0
pay_00293,insufficient_funds,escalated,3,0.0
pay_00295,insufficient_funds,escalated,3,0.0
pay_00297,card_expired,recovered,3,2499.0
pay_00298,card_expired,escalated,3,0.0
pay_00299,bank_downtime,recovered,1,1499.0
